held_out_session,model,target,condition,ccc,pearson_r,mse,rmse,pred_dispersion
1,MeanBaseline,arousal,lag_0,-6.16689507118334e-31,,0.2379881899755431,0.4878403324608812,1.8503925568498138e-15
1,RidgeCV,arousal,lag_0,0.3092165168379628,0.3529964201380287,0.2668355217544161,0.5165612468569589,0.7343302138656422
1,SVR,arousal,lag_0,0.264617734796874,0.2664796192159239,0.3276948331320758,0.5724463583009991,0.9603039306181084
1,CatBoost,arousal,lag_0,0.1699316247496798,0.3418463983928268,0.2060016678186056,0.4538740660344074,0.2677302145625854
1,CatBoostOptuna,arousal,lag_0,-0.0376925951981548,-0.101036027735445,0.2489364809865565,0.4989353475016143,0.194221329029929
1,Ensemble,arousal,lag_0,0.2951884399480359,0.33996848640686,0.221594733552546,0.4707384980565601,0.5924400590979969
1,MeanBaseline,valence,lag_0,1.7054907282716797e-30,,0.1075678814483584,0.3279754281167393,1.3545722678323365e-15
1,RidgeCV,valence,lag_0,0.0466544592685166,0.0552466962968884,0.1552446746006568,0.3940110082226851,0.6397158947658588
1,SVR,valence,lag_0,-0.1353544382206505,-0.1406718491366985,0.1937153501911728,0.4401310602436197,0.7637158439827368
1,CatBoost,valence,lag_0,0.0275494851566603,0.0511550788502804,0.1187215420784065,0.3445599252356642,0.3058585810318355
1,CatBoostOptuna,valence,lag_0,0.0532737151124877,0.0634798200463058,0.1320872472150173,0.363438092685697,0.5446878318947039
1,Ensemble,valence,lag_0,-0.0362542456316439,-0.0516180196869579,0.1339781011641702,0.3660301916019637,0.4224340836786899
2,MeanBaseline,arousal,lag_0,0.0,,2.3054654073189997,1.5183759110704436,3.5788297853795164e-16
2,RidgeCV,arousal,lag_0,0.185551567938816,0.5208448138683304,1.8837376931208287,1.37249323973593,0.2675622067639359
2,SVR,arousal,lag_0,0.2097156616810124,0.4776690040132835,1.7736053869508628,1.331767767649774,0.3199551290696017
2,CatBoost,arousal,lag_0,-0.177076920201815,-0.6777292077126083,2.227341250089796,1.492427971491353,0.1605459379372258
2,CatBoostOptuna,arousal,lag_0,-0.3003304488502673,-0.6543424377871069,2.502021003944473,1.581777798536973,0.2867762258597265
2,Ensemble,arousal,lag_0,0.0918621026494297,0.3585597842763943,1.884285050014843,1.3726926276537086,0.17261608215211
2,MeanBaseline,valence,lag_0,0.0,,0.6487860793439154,0.8054725813731436,0.0
2,RidgeCV,valence,lag_0,-0.0011831196020252,-0.0050446170677336,0.666533188874539,0.816414838715306,0.1789354731817201
2,SVR,valence,lag_0,-0.0368847914874466,-0.1920704550735788,0.7003392829476719,0.8368627623139124,0.1486457479317685
2,CatBoost,valence,lag_0,-0.0260989047047994,-0.1242908316916553,0.664701417674987,0.8152922283911377,0.1558864292207295
2,CatBoostOptuna,valence,lag_0,0.0098572992074697,0.1772665273757211,0.6498523578366986,0.8061342058470776,0.0418249905554489
2,Ensemble,valence,lag_0,-0.02182469379151,-0.132459727838425,0.6752825165184743,0.8217557523488803,0.124784646541138
3,MeanBaseline,arousal,lag_0,5.993500523936785e-31,,0.2568183292097399,0.5067724629552596,9.98773764852413e-16
3,RidgeCV,arousal,lag_0,0.1806553034841944,0.3509857830994072,0.3108194951527994,0.5575118789342514,0.4938176497084569
3,SVR,arousal,lag_0,0.2761644963312032,0.3141331512946529,0.2500944223706939,0.5000944134567931,0.7682136384481411
3,CatBoost,arousal,lag_0,0.2135123568433025,0.3173368233255967,0.3497554560584741,0.5914012648434852,0.756726517873252
3,CatBoostOptuna,arousal,lag_0,0.161639849540411,0.309180656423359,0.3269469600862729,0.5717927597357918,0.5156400164284065
3,Ensemble,arousal,lag_0,0.2385197351550161,0.3489206393561152,0.2784990410323846,0.5277300835013906,0.6323048672109804
3,MeanBaseline,valence,lag_0,0.0,,0.8722597812307933,0.9339484896025012,0.0
3,RidgeCV,valence,lag_0,-0.0461851415922678,-0.1637544970460726,0.9508113566849954,0.9750955628475576,0.1502508975324731
3,SVR,valence,lag_0,-0.0085618413541603,-0.0583526668944767,0.8816416337869981,0.9389577380196608,0.0751827562575329
3,CatBoost,valence,lag_0,-0.0302991448903879,-0.1268390254478624,0.9633061774638958,0.9814816235996964,0.1309184032184791
3,CatBoostOptuna,valence,lag_0,-0.0101415551413236,-0.154983769834792,0.9071562056144026,0.9524474818143006,0.0344461265293122
3,Ensemble,valence,lag_0,-0.0290235565965227,-0.1449424132844732,0.92511899689791,0.9618310646355264,0.1055236107207856
4,MeanBaseline,arousal,lag_0,6.5504664682632955e-31,,0.2007136715741303,0.4480107940375212,1.1259716555514165e-15
4,RidgeCV,arousal,lag_0,-0.0482624210259548,-0.0498665950002587,0.2622757546516892,0.5121286504890047,0.77834474137238
4,SVR,arousal,lag_0,0.0452977364444294,0.0453397126825962,0.2852926899220865,0.5341279714844435,0.9596324088258646
4,CatBoost,arousal,lag_0,0.1325979121070444,0.1910457475425174,0.2142056100045603,0.4628235192863045,0.5509271384926583
4,CatBoostOptuna,arousal,lag_0,0.0500505680419665,0.1610791853168878,0.2092402178409186,0.4574278280132491,0.2199878729616059
4,Ensemble,arousal,lag_0,0.0497652143948827,0.054543130092564,0.2263899515480527,0.4758045308191723,0.6987092968199078
4,MeanBaseline,valence,lag_0,-5.982123238939622e-31,,0.0879131454069745,0.2965015099573264,3.0542346067718308e-15
4,RidgeCV,valence,lag_0,-0.0878190586356218,-0.1516239906374289,0.1524024680077148,0.3903875869027022,0.4797671955929326
4,SVR,valence,lag_0,-0.1311052441844657,-0.2592835908634477,0.1167467551080972,0.34168224289257,0.3085753226817213
4,CatBoost,valence,lag_0,-0.1218924784809313,-0.2400727278841977,0.1163815658765653,0.3411474254286046,0.3114163416302467
4,CatBoostOptuna,valence,lag_0,-0.0485660564348107,-0.2606656817488825,0.094328876978226,0.307130065246348,0.0990996704209541
4,Ensemble,valence,lag_0,-0.1068905316155928,-0.2179266419849393,0.1215302644547169,0.3486119109478575,0.3184073166355457
5,MeanBaseline,arousal,lag_0,-5.401218878582617e-31,,0.2921047722576368,0.5404671796303979,8.556409818167196e-16
5,RidgeCV,arousal,lag_0,-0.2305563532344489,-0.3011254130618297,0.5806341668200727,0.7619935477548827,0.6705690166321306
5,SVR,arousal,lag_0,-0.1929050218849245,-0.2215063102200769,0.5263198236167709,0.725479030445933,0.7132043916506559
5,CatBoost,arousal,lag_0,0.0622170680437998,0.1154251184552525,0.3193562057120589,0.5651160993212447,0.3407179113852432
5,CatBoostOptuna,arousal,lag_0,-0.0872160473889684,-0.1934571559756448,0.3170344924593171,0.5630581608140647,0.2440141321762584
5,Ensemble,arousal,lag_0,-0.1471220707080155,-0.2151337417476374,0.4448177927101494,0.6669466190859276,0.4922146434459322
5,MeanBaseline,valence,lag_0,2.236488225256278e-30,,0.1646040810525415,0.4057142849993596,2.3259355034637996e-15
5,RidgeCV,valence,lag_0,0.0201709566232832,0.0363041235761893,0.1784692935469714,0.4224562622887385,0.3470153143165517
5,SVR,valence,lag_0,0.016672556624528,0.0428576689088003,0.1668799208442065,0.4085093889302992,0.2263833526171266
5,CatBoost,valence,lag_0,-0.0406200944201172,-0.0906048295044865,0.1842767621809831,0.4292746931522788,0.2722280376873427
5,CatBoostOptuna,valence,lag_0,0.0114180136173808,0.0566960522923622,0.1534987485686727,0.3917891634140392,0.1072246875347138
5,Ensemble,valence,lag_0,-0.0004006885953221,-0.0011136251692192,0.1719863896646793,0.4147124180256474,0.2121059970572312
6,MeanBaseline,arousal,lag_0,2.7804251290590926e-31,,0.5674390559748438,0.7532855076097268,6.487419400805529e-16
