held_out_session,model,target,condition,ccc,pearson_r,mse,rmse
1,MeanBaseline,arousal,sync,-6.16689507118334e-31,,0.2379881899755431,0.4878403324608812
1,RidgeCV,arousal,sync,0.06819895526052466,0.09022901194292571,0.26175060141784323,0.5116156774551023
1,SVR,arousal,sync,-0.09062636887703326,-0.0913635812913028,0.4461031155513747,0.6679095114994057
1,XGBoost,arousal,sync,-0.16582859524716984,-0.24492709892583187,0.34652870199530433,0.5886668854244346
1,CatBoost,arousal,sync,0.05932423443206067,0.2311546424322936,0.2765851040678158,0.525913589925014
1,CatBoostOptuna,arousal,sync,0.3036414713842103,0.3326978658133918,0.228935241639158,0.4784717772650316
1,Ensemble,arousal,sync,0.0004130813357677428,0.0005850530806157796,0.281928158108199,0.5309690745308986
1,MeanBaseline,arousal,retro,-6.16689507118334e-31,,0.2379881899755431,0.4878403324608812
1,RidgeCV,arousal,retro,0.06448835986503386,0.08705604649918866,0.2596008331228754,0.5095103856869606
1,SVR,arousal,retro,-0.0949709318596792,-0.09587115951130615,0.4443741960695497,0.6666139783034479
1,XGBoost,arousal,retro,-0.1483840868020153,-0.24319417113707203,0.3299324878464259,0.5743974998608767
1,CatBoost,arousal,retro,0.0750455458913623,0.3129436098850514,0.25811695705274273,0.5080521204096512
1,CatBoostOptuna,arousal,retro,0.056762044829962305,0.07322788780513452,0.2683568251530784,0.5180316835417293
1,Ensemble,arousal,retro,-0.003209776933259186,-0.0045265506503449,0.2811012702955988,0.5301898436367852
1,MeanBaseline,valence,sync,1.70549072827168e-30,,0.10756788144835848,0.32797542811673935
1,RidgeCV,valence,sync,-0.07742689037943001,-0.11121294129698847,0.13482589535996486,0.36718645857379445
1,SVR,valence,sync,-0.07832263996130032,-0.13962082361669836,0.12687337388465042,0.35619288859359677
1,XGBoost,valence,sync,-0.08680683979217897,-0.1523830264991647,0.13277934727018206,0.3643890054189095
1,CatBoost,valence,sync,0.03149403519945199,0.043061929654512665,0.18965384965878415,0.4354926516702482
1,CatBoostOptuna,valence,sync,-0.004317276852410909,-0.004381200250080597,0.18900215119350852,0.4347437764862293
1,Ensemble,valence,sync,-0.03416849294370932,-0.06397480018257033,0.12663930291757836,0.35586416357590483
1,MeanBaseline,valence,retro,1.70549072827168e-30,,0.10756788144835848,0.32797542811673935
1,RidgeCV,valence,retro,-0.05385912948811666,-0.07713156254598844,0.13203154699141093,0.3633614550160913
1,SVR,valence,retro,-0.07283862859471522,-0.13123323406042872,0.1264655846660228,0.3556200003740268
1,XGBoost,valence,retro,-0.06254846954535881,-0.11478896013715163,0.12448286784303503,0.3528212973206621
1,CatBoost,valence,retro,0.058855097402743244,0.07667538765654308,0.15759952625896964,0.3969880681569279
1,CatBoostOptuna,valence,retro,-0.055154637269995574,-0.07316245478197597,0.20745427734743097,0.455471489060985
1,Ensemble,valence,retro,-0.01249338180568438,-0.023671296518851512,0.12120443304385008,0.3481442704452424
2,MeanBaseline,arousal,sync,0.0,,2.3054654073189997,1.5183759110704436
2,RidgeCV,arousal,sync,0.2137708460341645,0.6857927845161484,1.488755143784658,1.2201455420500695
2,SVR,arousal,sync,0.2771585060381229,0.7143408194774712,1.2307599305530172,1.1093962008917362
2,XGBoost,arousal,sync,0.13112716166891772,0.6903512268523987,1.7415299250975291,1.3196703850195053
2,CatBoost,arousal,sync,0.05208379185075661,0.42043492852683617,1.7660539919950868,1.3289296414765859
2,CatBoostOptuna,arousal,sync,-0.161455737196322,-0.5688099823862922,2.6152683214960293,1.61717912474037
2,Ensemble,arousal,sync,0.1825786158114655,0.7230282575020388,1.4649347569506501,1.210344891735678
2,MeanBaseline,arousal,retro,0.0,,2.3054654073189997,1.5183759110704436
2,RidgeCV,arousal,retro,0.20851930532990284,0.685441528816014,1.494296824374351,1.2224143423464693
2,SVR,arousal,retro,0.24900196500744887,0.6890770112685158,1.2593446844267875,1.1222052773119486
2,XGBoost,arousal,retro,0.10468505161324536,0.5417385786113615,1.8258758142498515,1.3512497231266511
2,CatBoost,arousal,retro,-0.000993076738391093,-0.011267135522626492,1.849345417524679,1.3599064002807983
2,CatBoostOptuna,arousal,retro,0.06688117743041587,0.30265375592656374,2.0974045032065924,1.4482418662663334
2,Ensemble,arousal,retro,0.15389733818925386,0.6839984925259108,1.5047864361008128,1.2266973694032333
2,MeanBaseline,valence,sync,0.0,,0.6487860793439154,0.8054725813731436
2,RidgeCV,valence,sync,-0.18527465396745316,-0.47997747080311504,0.9211921688792861,0.9597875644533461
2,SVR,valence,sync,-0.18582661891331737,-0.5096410664746462,1.1017088025777613,1.049623171703903
2,XGBoost,valence,sync,0.05957717314232684,0.28611378621161054,0.6947263465744984,0.8335024574495857
2,CatBoost,valence,sync,-0.026664887910057784,-0.18962225584280185,0.7915877198721216,0.8897121556279433
2,CatBoostOptuna,valence,sync,0.05279650890773139,0.1841916106827265,0.7084921205327861,0.8417197398973046
2,Ensemble,valence,sync,-0.13544128627537758,-0.49564539043195466,0.910768415905352,0.954341875799942
2,MeanBaseline,valence,retro,0.0,,0.6487860793439154,0.8054725813731436
2,RidgeCV,valence,retro,-0.18457907037865887,-0.4863814936339371,0.9326683604916198,0.9657475656151663
2,SVR,valence,retro,-0.18172872777744564,-0.5293566421372203,1.1072563198461236,1.052262476688266
2,XGBoost,valence,retro,0.10288379344916691,0.4438365889436249,0.6453601622661114,0.8033431161503231
2,CatBoost,valence,retro,-0.034185079020842835,-0.2529298349583655,0.8309514044978414,0.9115653594218253
2,CatBoostOptuna,valence,retro,0.02074409904079741,0.05785061560252461,0.6671620554955213,0.8167998870565062
2,Ensemble,valence,retro,-0.13825491078437854,-0.5027650239039776,0.9520272103350026,0.9757188172496227
3,MeanBaseline,arousal,sync,5.993500523936785e-31,,0.25681832920973996,0.5067724629552596
3,RidgeCV,arousal,sync,0.08581899320655623,0.1904228989345478,0.26737652876914053,0.517084643718164
3,SVR,arousal,sync,0.11927481571472667,0.3112415988712953,0.4641867209532248,0.6813124987501878
3,XGBoost,arousal,sync,0.032562842497733446,0.08495546502389756,0.20104614635806545,0.4483816971711328
3,CatBoost,arousal,sync,0.00012315745266030652,0.0004461566324905373,0.2432118810070437,0.4931651660519462
3,CatBoostOptuna,arousal,sync,-0.07222617381173851,-0.2582217964007327,0.6124396940835206,0.7825852631397556
3,Ensemble,arousal,sync,0.08999814765179008,0.29132555866780446,0.29290852066566897,0.5412102370296307
3,MeanBaseline,arousal,retro,5.993500523936785e-31,,0.25681832920973996,0.5067724629552596
3,RidgeCV,arousal,retro,0.09854976987812855,0.21702123757620181,0.2667070379929498,0.5164368673835649
3,SVR,arousal,retro,0.12162882263720333,0.32659987662387885,0.4710800738641189,0.6863527328306626
3,XGBoost,arousal,retro,0.012461550969487504,0.04092586589779862,0.20330483720781753,0.45089337676197633
3,CatBoost,arousal,retro,0.03407315938192102,0.12864664382238755,0.252160731496812,0.5021560828037553
3,CatBoostOptuna,arousal,retro,-0.013588864341333327,-0.057258989052695386,0.6973236029392307,0.8350590415888153
3,Ensemble,arousal,retro,0.1030304521584153,0.3214070968748311,0.2990387864243967,0.5468443895884795
3,MeanBaseline,valence,sync,0.0,,0.8722597812307933,0.9339484896025012
3,RidgeCV,valence,sync,-0.06532208555986381,-0.19573666662525907,0.9423497744409812,0.9707470187649206
3,SVR,valence,sync,-0.0016875941523122814,-0.014960701547649122,0.8685274003780639,0.9319481747275777
3,XGBoost,valence,sync,-0.016916333933923864,-0.06134884776208097,1.0159754065408444,1.0079560538738008
3,CatBoost,valence,sync,-0.0331601668472912,-0.10911662168267655,1.0211653331963055,1.0105272550487223
3,CatBoostOptuna,valence,sync,0.003949747249428761,0.007634829478083658,1.119060524983553,1.0578565710830334
3,Ensemble,valence,sync,-0.03583313740329967,-0.2009136940360109,0.9209459417625886,0.9596592842059043
3,MeanBaseline,valence,retro,0.0,,0.8722597812307933,0.9339484896025012
3,RidgeCV,valence,retro,-0.07136666510300803,-0.21295770147172433,0.9478594835537646,0.973580753483636
3,SVR,valence,retro,-0.0047899841339757235,-0.046224393819114806,0.8696469490311166,0.9325486309201878
3,XGBoost,valence,retro,-0.03832419732021998,-0.14674793984895382,1.008376763859692,1.004179647204469
3,CatBoost,valence,retro,-0.021214879290301084,-0.21214245418837727,0.921271411514299,0.9598288449063713
3,CatBoostOptuna,valence,retro,-0.01605693654282574,-0.024515009013944225,1.2945939722618962,1.1378022553422436
3,Ensemble,valence,retro,-0.03305124180763267,-0.20038925294783053,0.9053646972462195,0.9515065408320741
4,MeanBaseline,arousal,sync,6.550466468263295e-31,,0.2007136715741303,0.44801079403752125
4,RidgeCV,arousal,sync,-0.18912935153760424,-0.33865740851705467,0.5946587359024361,0.7711411906404924
