comparison,model_a,model_b,target,condition,median_delta,wilcoxon_p,signflip_p,boot_ci_lo,boot_ci_hi,n_sessions,family,wilcoxon_p_fdr
CatBoostOptuna vs CatBoost,CatBoostOptuna,CatBoost,arousal,lag_0,0.0034429624238004994,0.3909759521484375,0.40905909409059094,-0.019123872647466098,0.0260066950400654,16,model,0.6839141845703125
CatBoostOptuna vs Ensemble,CatBoostOptuna,Ensemble,arousal,lag_0,-0.0059432471375965995,0.6282196044921875,0.4948505149485051,-0.035693488762494535,0.03757162083528298,16,model,0.6839141845703125
CatBoostOptuna vs SVR,CatBoostOptuna,SVR,arousal,lag_0,-0.003539011001201249,0.5698699951171875,0.296970302969703,-0.029841847965868838,0.06282343430747889,16,model,0.6839141845703125
CatBoostOptuna vs RidgeCV,CatBoostOptuna,RidgeCV,arousal,lag_0,-0.00872492752866945,0.6839141845703125,0.5764423557644236,-0.04741827760263694,0.039495252730619775,16,model,0.6839141845703125
CatBoostOptuna vs CatBoost,CatBoostOptuna,CatBoost,valence,lag_0,0.0,0.5375108464396199,0.5294470552944706,-0.020815080457422946,0.019486177384765813,16,model,0.6839141845703125
CatBoostOptuna vs Ensemble,CatBoostOptuna,Ensemble,valence,lag_0,0.00580007814981506,0.07890568448422747,0.12038796120387961,-0.004386642626267239,0.022621869119770828,16,model,0.21041515862460658
CatBoostOptuna vs SVR,CatBoostOptuna,SVR,valence,lag_0,0.0003496434967524502,0.07007303073420625,0.130986901309869,-0.005219759626930781,0.03125394552240242,16,model,0.21041515862460658
CatBoostOptuna vs RidgeCV,CatBoostOptuna,RidgeCV,valence,lag_0,0.004688924744980151,0.06202139654504741,0.05089491050894911,-0.001119591733180658,0.03363385128647679,16,model,0.21041515862460658
