held_out_session,model,target,condition,ccc,pearson_r,mse,rmse,pred_dispersion
1,MeanBaseline,arousal,M1_own_label_ar,3.053773484752453e-31,,0.4305388667276779,0.6561546058115251,7.035968922239893e-16
1,RidgeCV,arousal,M1_own_label_ar,0.4028837768304348,0.461397934078706,0.32172797036101564,0.5672106930947403,0.5904885348951767
1,CatBoost,arousal,M1_own_label_ar,0.40705463087508953,0.45203960518442254,0.33054239660422813,0.5749281664731936,0.6300370510494416
1,MeanBaseline,arousal,M2_own_signal,3.053773484752453e-31,,0.4305388667276779,0.6561546058115251,7.035968922239893e-16
1,RidgeCV,arousal,M2_own_signal,0.35278542801178137,0.44480902421263246,0.32310275003776523,0.5684212786637788,0.4969432583622605
1,CatBoost,arousal,M2_own_signal,0.37855725195018464,0.4573828840335915,0.3172976428203804,0.5632917918986398,0.5303893196631883
1,MeanBaseline,arousal,M3_label_coupling,3.053773484752453e-31,,0.4305388667276779,0.6561546058115251,7.035968922239893e-16
1,RidgeCV,arousal,M3_label_coupling,0.3912261493304799,0.4534833333108804,0.32345235697505986,0.5687287200195361,0.5753051512115377
1,CatBoost,arousal,M3_label_coupling,0.387990899382041,0.4426724331827619,0.3300903932648028,0.5745349365049987,0.5933233679390912
1,MeanBaseline,arousal,M4_full,3.053773484752453e-31,,0.4305388667276779,0.6561546058115251,7.035968922239893e-16
1,RidgeCV,arousal,M4_full,0.33145527779235295,0.4209043489560589,0.33272154544621546,0.5768202020094437,0.4918915620494358
1,CatBoost,arousal,M4_full,0.38371161134323717,0.4626642509992526,0.315154988271961,0.5613866655630154,0.5323001454013364
1,MeanBaseline,valence,M1_own_label_ar,0.0,,0.035466700510975765,0.18832604841331899,0.0
1,RidgeCV,valence,M1_own_label_ar,0.22133783336860824,0.2643066623096282,0.03564809900735333,0.18880704173137539,0.5415741478569001
1,CatBoost,valence,M1_own_label_ar,0.2689747302302029,0.31069769926169954,0.03451248908077825,0.18577537264335725,0.577351655438925
1,MeanBaseline,valence,M2_own_signal,0.0,,0.035466700510975765,0.18832604841331899,0.0
1,RidgeCV,valence,M2_own_signal,0.2096708328880967,0.2535407474191503,0.036192428627360794,0.1902430777383524,0.5349621436027803
1,CatBoost,valence,M2_own_signal,0.2102952104991065,0.26415100666343877,0.03507958457492752,0.18729544728830844,0.49956253508966536
1,MeanBaseline,valence,M3_label_coupling,0.0,,0.035466700510975765,0.18832604841331899,0.0
1,RidgeCV,valence,M3_label_coupling,0.21996198293681363,0.2631224977470853,0.03565866915166126,0.18883503157958073,0.5398362989266495
1,CatBoost,valence,M3_label_coupling,0.2675694263090745,0.3094874999055146,0.03452725274546389,0.18581510365270068,0.5757209237833039
1,MeanBaseline,valence,M4_full,0.0,,0.035466700510975765,0.18832604841331899,0.0
1,RidgeCV,valence,M4_full,0.18902276981867216,0.2547954943263161,0.034646177151760604,0.1861348359436261,0.4477051801635436
1,CatBoost,valence,M4_full,0.221675120907625,0.2800678068091455,0.034441543460635264,0.18558432978200304,0.4947645057152736
2,MeanBaseline,arousal,M1_own_label_ar,0.0,,0.501459567982627,0.708138099513525,0.0
2,RidgeCV,arousal,M1_own_label_ar,0.4353933602220282,0.49809409130734333,0.38097941404613184,0.6172352987687368,0.5884403894721083
2,CatBoost,arousal,M1_own_label_ar,0.42169479778679336,0.48460135916569397,0.38838473879470786,0.6232052140304251,0.5830357791208581
2,MeanBaseline,arousal,M2_own_signal,0.0,,0.501459567982627,0.708138099513525,0.0
2,RidgeCV,arousal,M2_own_signal,0.41380424026058077,0.4917329881678986,0.38332473152877883,0.6191322407440747,0.5489923516042288
2,CatBoost,arousal,M2_own_signal,0.41082412159432335,0.5009086820576438,0.37565628284933894,0.6129080541560364,0.5216985251977627
2,MeanBaseline,arousal,M3_label_coupling,0.0,,0.501459567982627,0.708138099513525,0.0
2,RidgeCV,arousal,M3_label_coupling,0.42542938343426445,0.4882078889562655,0.38643694534493495,0.6216405274311955,0.5847018278404219
2,CatBoost,arousal,M3_label_coupling,0.43115108286963083,0.49472774053271373,0.38265314350051294,0.618589640634656,0.5848548585099196
2,MeanBaseline,arousal,M4_full,0.0,,0.501459567982627,0.708138099513525,0.0
2,RidgeCV,arousal,M4_full,0.3691009451909258,0.4761095450608134,0.3910028935728052,0.6253022417781702,0.4793303161904962
2,CatBoost,arousal,M4_full,0.4100056871843589,0.5002572620000447,0.3760605420241699,0.61323775326065,0.5211742564198718
2,MeanBaseline,valence,M1_own_label_ar,0.0,,0.018551958445758535,0.13620557420956947,0.0
2,RidgeCV,valence,M1_own_label_ar,0.29510487873930413,0.4265567238102176,0.015164648218533387,0.1231448261947427,0.4021545769196964
2,CatBoost,valence,M1_own_label_ar,0.3062566369670644,0.44091663683145355,0.014953649021017978,0.1222851136525537,0.4045413764502097
2,MeanBaseline,valence,M2_own_signal,0.0,,0.018551958445758535,0.13620557420956947,0.0
2,RidgeCV,valence,M2_own_signal,0.29283312551916424,0.42642951225908493,0.015345176416019249,0.12387564900342297,0.40263220447018894
2,CatBoost,valence,M2_own_signal,0.25339329552651835,0.42306988443663973,0.015349624304835253,0.12389360074206922,0.3327165894531297
2,MeanBaseline,valence,M3_label_coupling,0.0,,0.018551958445758535,0.13620557420956947,0.0
2,RidgeCV,valence,M3_label_coupling,0.3097968366393889,0.44889452769143184,0.014834247234863821,0.12179592454127446,0.4007807172565369
2,CatBoost,valence,M3_label_coupling,0.3231197394693285,0.4650431817046717,0.014595088591465301,0.12081013447333507,0.40480948327911404
2,MeanBaseline,valence,M4_full,0.0,,0.018551958445758535,0.13620557420956947,0.0
2,RidgeCV,valence,M4_full,0.21729170182980426,0.34571989923686186,0.016338856423833963,0.1278235362671287,0.35450802018209
2,CatBoost,valence,M4_full,0.2676149965477531,0.4260715461582558,0.015251924735309551,0.12349868313188425,0.3534261729152941
3,MeanBaseline,arousal,M1_own_label_ar,9.717001153151451e-31,,0.36961628266801705,0.6079607575066149,1.5648134337011179e-15
3,RidgeCV,arousal,M1_own_label_ar,0.33953798912041777,0.40817672668813865,0.2755816430397284,0.5249587060328921,0.5386879720860627
3,CatBoost,arousal,M1_own_label_ar,0.33093424343466177,0.3971160143087688,0.2786336344527969,0.5278575891779873,0.5386215762431558
3,MeanBaseline,arousal,M2_own_signal,9.717001153151451e-31,,0.36961628266801705,0.6079607575066149,1.5648134337011179e-15
