held_out_session,model,target,condition,ccc,pearson_r,mse,rmse
1,MeanBaseline,arousal,circ_shift,2.3837204879898657e-31,,0.4617723228734089,0.6795383159715197
1,RidgeCV,arousal,circ_shift,-0.030097582654326185,-0.08337682632080146,0.5497018562171655,0.7414188129641475
1,SVR,arousal,circ_shift,-0.07422083233388979,-0.10752710688072414,0.5904447128553187,0.7684040036695011
1,XGBoost,arousal,circ_shift,0.019264669662132944,0.05352103984678269,0.5008619662221152,0.7077160208884036
1,CatBoost,arousal,circ_shift,0.07341755283627174,0.16956944695282627,0.5103575681944521,0.7143931467997521
1,Ensemble,arousal,circ_shift,-0.009986438158920386,-0.028763642049777084,0.5204678971982389,0.721434610479868
1,MeanBaseline,arousal,lag_0,2.3837204879898657e-31,,0.4617723228734089,0.6795383159715197
1,RidgeCV,arousal,lag_0,0.00433896995054785,0.01099143427147838,0.5017434411485603,0.7083385074585176
1,SVR,arousal,lag_0,-0.07155728986906658,-0.10288163285351629,0.5449051167291658,0.7381768871545396
1,XGBoost,arousal,lag_0,0.03226277511132841,0.0738741092004725,0.48673070622327025,0.6976608819643468
1,CatBoost,arousal,lag_0,0.1517085727933082,0.29232282459063075,0.48610872022071683,0.6972149741799274
1,Ensemble,arousal,lag_0,0.032781733849992466,0.08417479235842815,0.473279962721503,0.6879534597060349
1,MeanBaseline,arousal,lag_1,0.0,,0.4563000425111996,0.675499846418339
1,RidgeCV,arousal,lag_1,-0.006564410113737438,-0.016808249212913087,0.500942271039067,0.7077727538123144
1,SVR,arousal,lag_1,-0.04744308256250892,-0.07625978758982825,0.5072204224646873,0.7121940904449343
1,XGBoost,arousal,lag_1,0.05442657390758109,0.12862810750455797,0.46930337414530293,0.6850572050167073
1,CatBoost,arousal,lag_1,0.15841283137401374,0.3110192941866934,0.4761984335001736,0.6900713249369036
1,Ensemble,arousal,lag_1,0.04065946447758724,0.10913711795776058,0.4629428205491449,0.68039901568796
1,MeanBaseline,arousal,lag_2,4.575563735839702e-31,,0.4462308373173431,0.6680051177328982
1,RidgeCV,arousal,lag_2,-0.04719333164224631,-0.12515732198628993,0.5237720828168936,0.7237209979107236
1,SVR,arousal,lag_2,-0.050768511262912035,-0.08101863213873459,0.5143244361071799,0.7171641625926242
1,XGBoost,arousal,lag_2,0.054473706504379917,0.12386719292785496,0.46698359949606755,0.6833619827705281
