model,target,condition,ccc_mean,ccc_std,ccc_ci_lo,ccc_ci_hi,r_mean,rmse_mean,pred_disp_mean,n_sessions
RidgeCV,arousal,sync_aug_lag_0,0.006956278452472197,0.04203239147114052,-0.015441201972511307,0.0293537588774557,0.018244974287296125,1.0450797790903912,0.6299955908941912,16
CatBoost,arousal,sync_aug_lag_0,0.006263700060912973,0.022927316832530128,-0.005953404699984767,0.018480804821810713,0.02011059479051299,0.8025992850247486,0.187440501041249,16
MeanBaseline,arousal,sync_aug_lag_0,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,6.587482990504111e-16,16
RidgeCV,arousal,sync_circ,0.026812644806225437,0.06058010433196864,-0.005468214155852295,0.05909350376830317,0.05053156003308127,1.1113542817507491,0.5364860391737547,16
CatBoost,arousal,sync_circ,0.017765289057137895,0.03385742534393183,-0.00027605940864515455,0.035806637522920945,0.05593054823447821,0.769733119728236,0.2020469305305186,16
MeanBaseline,arousal,sync_circ,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,6.587482990504111e-16,16
MeanBaseline,arousal,sync_lag_0,5.702399867114179e-32,2.4995200645655023e-31,-7.616602397222194e-32,1.9021402131450552e-31,,0.7761325564599165,6.587482990504111e-16,16
RidgeCV,arousal,sync_lag_0,-0.002275873825802095,0.04035199757629372,-0.023777935549902634,0.019226187898298445,-0.007283243231740758,1.0544302610202032,0.5620748075629363,16
CatBoost,arousal,sync_lag_0,-0.005872479944333566,0.0341706685520932,-0.02408074393353789,0.012335784044870759,-0.0198332314558319,0.7964945962871999,0.16943975776963466,16
MeanBaseline,arousal,sync_lag_1,-2.401539796249587e-32,1.981253204059924e-31,-1.2958892899828283e-31,8.155813307329108e-32,,0.7768334625040011,5.774815979550212e-16,16
RidgeCV,arousal,sync_lag_1,-0.006531929267576696,0.040910660120589776,-0.028331681248217444,0.015267822713064053,-0.008030803378829932,1.1027683385156535,0.5785954130620325,16
CatBoost,arousal,sync_lag_1,-0.011527807276804643,0.02711230513106727,-0.025974934889474402,0.0029193203358651165,-0.03760652038092652,0.798142726992529,0.16907960519359055,16
RidgeCV,arousal,sync_rnd,0.03672828431354861,0.10875846528286905,-0.02122501103717655,0.09468157966427376,0.052466463544864686,0.8158227885518247,0.4324652184534462,16
CatBoost,arousal,sync_rnd,0.01285510244251151,0.07671136539805236,-0.028021498786716958,0.053731703671739975,0.039742920837040965,0.8036875409527353,0.27490480624324654,16
MeanBaseline,arousal,sync_rnd,9.361823436473708e-33,1.270161894164854e-31,-5.832032636613746e-32,7.704397323908489e-32,,0.7752404200522511,4.785703911779724e-16,16
CatBoost,valence,sync_aug_lag_0,0.0049859098092274075,0.028335004375758782,-0.010112748240805713,0.02008456785926053,-0.006405936882368042,0.263055969682943,0.2449910287485628,16
MeanBaseline,valence,sync_aug_lag_0,1.633096669053588e-30,7.122856529286549e-30,-2.1624056590544295e-30,5.4285989971616054e-30,,0.24486782976683952,1.760910869134826e-15,16
RidgeCV,valence,sync_aug_lag_0,-0.011258700967946355,0.05358940264439133,-0.039814477946242224,0.017297076010349518,-0.02252787880099782,0.378923593969007,0.819250659095182,16
CatBoost,valence,sync_circ,0.014263995920064096,0.03589041967598315,-0.004860658757012821,0.03338865059714101,0.042466220113509826,0.2592396327144665,0.31922133216050325,16
MeanBaseline,valence,sync_circ,1.633096669053588e-30,7.122856529286549e-30,-2.1624056590544295e-30,5.4285989971616054e-30,,0.24486782976683952,1.760910869134826e-15,16
RidgeCV,valence,sync_circ,-0.005694776472398059,0.04494287287731416,-0.029643142965018483,0.018253590020222362,-0.020594130989824596,0.35863198003413743,0.451964042638023,16
MeanBaseline,valence,sync_lag_0,1.633096669053588e-30,7.122856529286549e-30,-2.1624056590544295e-30,5.4285989971616054e-30,,0.24486782976683952,1.760910869134826e-15,16
CatBoost,valence,sync_lag_0,-0.0001593349172181657,0.05084846549587019,-0.027254569585608523,0.02693589975117219,-0.009286086411712302,0.26075174770998266,0.2460208054763511,16
RidgeCV,valence,sync_lag_0,-0.006158663001295854,0.05419181281658284,-0.0350354417015312,0.022718115698939494,-0.0044699743930623256,0.3618663083366156,0.7698932201869487,16
CatBoost,valence,sync_lag_1,0.0016006416743047985,0.042523187485431914,-0.021058365486084637,0.024259648834694236,-0.0059135376048641474,0.2627831228544213,0.2357498056855421,16
MeanBaseline,valence,sync_lag_1,2.546354662315672e-30,6.899718054932863e-30,-1.1302455658528544e-30,6.222954890484199e-30,,0.24343170013222915,1.862927655489279e-15,16
RidgeCV,valence,sync_lag_1,-0.012298167646976641,0.0501574277618851,-0.03902517429935028,0.014428839005397001,-0.032436990161294,0.3553205685534768,0.6802674412575314,16
MeanBaseline,valence,sync_rnd,-2.6644180174357866e-31,1.852392021519154e-30,-1.253511834859758e-30,7.2062823137260055e-31,,0.23876632573178086,1.2899870828844111e-15,16
RidgeCV,valence,sync_rnd,-0.004797936265120631,0.04793236302205781,-0.030339289610358033,0.020743417080116774,0.016783975434406358,0.28581967097160144,0.5599945756292118,16
CatBoost,valence,sync_rnd,-0.005501459174891129,0.03937967077256072,-0.026485404518003706,0.015482486168221447,-0.004353602734315034,0.2646390171995349,0.36316850248362686,16
