comparison,model_a,model_b,target,condition,median_delta,wilcoxon_p,signflip_p,boot_ci_lo,boot_ci_hi,n_sessions,family,wilcoxon_p_fdr
CatBoost vs Ensemble,CatBoost,Ensemble,arousal,lag_0,-0.0023898783416670243,0.530059814453125,0.5763423657634237,-0.030018769308427694,0.022404126530579827,16,model,0.6282196044921875
CatBoost vs SVR,CatBoost,SVR,arousal,lag_0,0.005286750069647147,0.3342742919921875,0.20937906209379062,-0.013324208405618411,0.05317486270720594,16,model,0.5014114379882812
CatBoost vs RidgeCV,CatBoost,RidgeCV,arousal,lag_0,-0.001107439104214486,0.6282196044921875,0.6547345265473453,-0.04010590015102129,0.025123398562263904,16,model,0.6282196044921875
CatBoost vs Ensemble,CatBoost,Ensemble,valence,lag_0,0.0036088998021523164,0.04809851823139146,0.059394060593940604,-0.0006354367057463616,0.021834146637317017,16,model,0.18606418963514224
CatBoost vs SVR,CatBoost,SVR,valence,lag_0,0.010078877526308583,0.06202139654504741,0.08859114088591141,-0.004397968018764073,0.03091522655401591,16,model,0.18606418963514224
CatBoost vs RidgeCV,CatBoost,RidgeCV,valence,lag_0,0.004296399631890293,0.1359738119973677,0.0999900009999,-0.005772458112985011,0.04208703848124702,16,model,0.2719476239947354
